OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
5679,11233.0,Golden Downs,BEAMS RD,Golden Place,503235.4,6974876.7,-27.349286,153.032712,FITZGIBBON,2 - Intermediate,Y,Easy,Easy,Easy,2018-06-01T12:00:00+10:00,"{""coordinates"": [153.03271764753887, -27.34927374692174], ""type"": ""Point""}","-27.34927374692174, 153.03271764753887"
5680,11235.0,Armada,NUDGEE RD,Armada Pl,508848.8,6970999.8,-27.384263,153.089495,BANYO,2 - Intermediate,Y,Easy,Easy,Easy,,"{""coordinates"": [153.089500175143, -27.384250016877356], ""type"": ""Point""}","-27.384250016877356, 153.089500175143"
5681,11236.0,Armada,NUDGEE RD,Armada Pl,508784.7,6970889.5,-27.385259,153.088847,BANYO,2 - Intermediate,Y,Easy,Easy,Easy,2017-05-22T12:00:00+10:00,"{""coordinates"": [153.08885268300423, -27.38524622928457], ""type"": ""Point""}","-27.38524622928457, 153.08885268300423"
5682,11241.0,Golden Downs,BEAMS RD,Carselgrove Av,503231.2,6974906.5,-27.349017,153.032669,FITZGIBBON,2 - Intermediate,Y,Easy,Easy,Easy,2018-06-13T12:00:00+10:00,"{""coordinates"": [153.03267510444616, -27.349004718150216], ""type"": ""Point""}","-27.349004718150216, 153.03267510444616"
5683,11242.0,West Link Pl,ARCHERFIELD RD,West Link Pl,495738.1,6949235.9,-27.580769,152.95682,RICHLANDS,4 - Regular,Y,Medium,Easy,Easy,2018-02-01T11:00:00+10:00,"{""coordinates"": [152.95682586692644, -27.580755893249545], ""type"": ""Point""}","-27.580755893249545, 152.95682586692644"
5684,11243.0,West Link Pl,ARCHERFIELD RD,West Link Pl,495758.4,6949226.1,-27.580857,152.957025,RICHLANDS,4 - Regular,Y,Medium,Easy,Easy,2018-02-01T11:00:00+10:00,"{""coordinates"": [152.95703150524852, -27.580844429926547], ""type"": ""Point""}","-27.580844429926547, 152.95703150524852"
5685,11248.0,Kokoda,KOKODA ST,,493962.9,6949543.4,-27.577986,152.938836,DARRA,5 - District,N,Medium,Easy,Easy,,"{""coordinates"": [152.93884167707986, -27.57797307325732], ""type"": ""Point""}","-27.57797307325732, 152.93884167707986"
5686,11249.0,Kokoda,KOKODA ST,Wau Rd,493956.3,6949551.2,-27.577915,152.938769,DARRA,4 - Regular,Y,Medium,Easy,Easy,2016-07-07T12:00:00+10:00,"{""coordinates"": [152.93877484889973, -27.577902626603358], ""type"": ""Point""}","-27.577902626603358, 152.93877484889973"
5687,11250.0,Parkwood Drive North,PARKWOOD DR,Laurel St,499163.0,6943409.6,-27.633374,152.991516,HEATHWOOD,4 - Regular,Y,Medium,Medium,Easy,2018-02-07T11:00:00+10:00,"{""coordinates"": [152.99152175851438, -27.633361087484058], ""type"": ""Point""}","-27.633361087484058, 152.99152175851438"
5688,11251.0,Parkwood Drive North,PARKWOOD DR,Bottlebrush St,499123.9,6943451.6,-27.632994,152.991119,HEATHWOOD,2 - Intermediate,Y,Easy,Easy,Easy,2017-07-04T12:00:00+10:00,"{""coordinates"": [152.99112545168288, -27.6329818959882], ""type"": ""Point""}","-27.6329818959882, 152.99112545168288"
5689,11252.0,Parkwood Drive,PARKWOOD DR,,499177.2,6943185.5,-27.635397,152.99166,HEATHWOOD,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.99166554330515, -27.635384220773616], ""type"": ""Point""}","-27.635384220773616, 152.99166554330515"
5690,11253.0,Parkwood Drive,PARKWOOD DR,,499164.9,6943187.5,-27.635379,152.991535,HEATHWOOD,5 - District,N,Hard,Easy,Easy,,"{""coordinates"": [152.99154086334858, -27.635366157658538], ""type"": ""Point""}","-27.635366157658538, 152.99154086334858"
